Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
11 - Île-de-France;     BT - Feuillus;113,052;81,758;87,972;38,136;30,431;36,002;44,084;34,643;30,574;32,305;25,491;18,698;23,283;45,355;32,332;51,419;17,287;9,916;31,139;18,643
11 - Île-de-France;     BT - Conifères;17,3;23,23;33,041;11,343;8,216;8,569;14,186;11,589;10,71;15,494;22,957;7,086;7,652;5,137;7,232;1,8;10,882;4,142;3,066;5,578
11 - Île-de-France;          BT - Conifères blancs : sapin, épicéa;2,997;6,688;8,751;1,497;0,936;1,847;4,581;2,94;0,601;0;0,165;0,551;2,331;2,428;5,038;0,323;1,86;0,53;0,595;0,034
11 - Île-de-France;          BT - Pins maritimes;1,048;0;0;0,034;0;0;0;1,695;0,026;0;0,112;0,881;0;0;0;0;0;0;0,43;0
11 - Île-de-France;          BT - Autres conifères rouges;13,255;16,542;24,29;9,812;7,28;6,722;9,605;6,954;10,083;15,494;22,68;5,654;5,321;2,709;2,194;1,477;9,022;3,612;2,041;5,544
11 - Île-de-France;   BI - Autres bois d'industrie;4,583;4,264;2,232;1,765;0,746;3,583;0,601;1,516;3,07;1,694;0,02;1,606;1,535;0,597;0,573;1,742;3,127;35,057;0,048;0,383
11 - Île-de-France;     ABI - dont bois d'industrie certifié*;1,212;0;0;0,219;0,3;1,429;0,41;0,1;1,98;1,103;0,003;1,446;1,248;0,478;0,573;0,717;1,481;20,485;0;0,289
11 - Île-de-France;     ABI - Feuillus;3,532;1,179;2,232;1,546;0,746;3,583;0,492;0,057;2,761;1,439;0,02;0,02;0,017;0,032;0;1,262;1,835;34,974;0;0,383
11 - Île-de-France;     ABI - Conifères (dont poteaux);1,051;3,085;0;0,219;0;0;0,109;1,459;0,309;0,255;0;1,586;1,518;0,565;0,573;0,48;1,292;0,083;0,048;0
11 - Île-de-France;BE - Bois énergie;56,8;71,477;65,635;68,115;81,022;112,254;149,6;153,746;176,394;197,587;217,91;229,437;216,577;165,595;143,388;115,561;152,943;144,812;182,29;166,074
11 - Île-de-France;     BE - dont bois énergie certifié*;24,461;10,953;15,243;9,494;17,317;46,268;61,764;46,149;87,697;102,78;155,433;151,426;138,981;94,12;97,333;74,535;106,653;77,84;69,773;86,237
11 - Île-de-France;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);55,492;67,016;51,6;55,879;69,139;82,777;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11 - Île-de-France;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);0,474;0,566;0,621;2,374;1,806;1,869;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11 - Île-de-France;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0;0;1,058;0;0;0;16,203;17,124;18,716;19,187;19,387;20,256;35,185;38,541;29,031;28,32;31,139;15,576;26,255;43,361
11 - Île-de-France;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;101,015;97,764;106,837;95,27;107,983;89,282;103,973;52,372;47,428;51,083;69,337;41,646;62,596;25,109
11 - Île-de-France;     BE - Plaquettes forestières;0,834;3,895;12,356;9,862;10,077;27,608;32,382;38,858;50,841;83,13;90,54;119,899;77,419;74,682;66,929;36,158;52,467;87,59;93,439;97,604
24 - Centre-Val de Loire;RBC - Récolte de bois commercialisé;1443,729;1507,209;1716,729;1547,86;1311,228;1738,847;2046,147;2180,464;1789,344;1760,479;1941,003;1997,917;2056,588;2025,474;2018,64;2022,759;2089,993;2137,431;2121,991;1885,73
24 - Centre-Val de Loire;     RBC - dont bois certifié*;474,378;582,237;621,941;581,285;636,598;711,908;784,884;663,6;695,382;647,591;929,987;945,505;926,624;927,336;998,631;1109,219;1049,184;1056,713;940,866;904,378
24 - Centre-Val de Loire;BO - Bois d’œuvre;691,741;681,482;802,432;748,25;610,994;740,141;772,88;732,223;698,57;670,995;675,645;722,293;718,332;742,62;718,757;730,333;758,67;785,633;713,137;635,322
24 - Centre-Val de Loire;     BO - dont grumes certifiées*;202,162;262,299;278,998;287,131;304,445;332,3;340,05;312,576;302,911;298,02;355,209;397,523;390,338;395,017;411,924;447,826;403,811;399,031;352,225;356,845
