Région;Récolte;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
27 - Bourgogne-Franche-Comté;     BT - dont bois de trituration certifié*;285,477;429,41;445,283;415,997;366,1;473,597;476,838;495,229;458,875;514,75;471,886;524,278;510,12;503,739;553,042;654,186;580,136;519,913;452,686;485,372
27 - Bourgogne-Franche-Comté;     BT - Feuillus;427,426;441,702;500,966;494,298;355,228;413,076;468,756;413,069;455,232;576,408;563,932;550,775;499,731;499,917;500,351;436,262;396,211;469,098;438,745;401,541
27 - Bourgogne-Franche-Comté;     BT - Conifères;675,89;825,88;750,888;563,045;509,829;590,244;577,419;650,548;554,858;529,905;524,63;605,299;558,064;511,019;535,277;621,541;682,169;604,88;470,795;568,077
27 - Bourgogne-Franche-Comté;          BT - Conifères blancs : sapin, épicéa;430,637;541,215;518,546;356,312;346,783;383,192;394,245;427,632;383,342;345,133;313,979;361,571;336,357;344,205;387,188;494,443;545,691;460,796;300,468;363,163
27 - Bourgogne-Franche-Comté;          BT - Pins maritimes;0,336;1,958;1,844;1,385;1,192;3,349;4,396;12,01;2,328;2,008;4,975;1,201;1,069;9,551;7,112;0,086;0,061;9,516;2,272;2,639
27 - Bourgogne-Franche-Comté;          BT - Autres conifères rouges;244,917;282,707;230,498;205,348;161,854;203,703;178,778;210,906;169,188;182,764;205,676;242,527;220,638;157,263;140,977;127,012;136,417;134,568;168,055;202,275
27 - Bourgogne-Franche-Comté;   BI - Autres bois d'industrie;48,774;59,258;32,462;39,346;41,049;46,859;69,912;67,038;90,229;88,475;70,345;81,734;77,452;91,152;96,248;97,534;101,135;77,879;64,41;80,417
27 - Bourgogne-Franche-Comté;     ABI - dont bois d'industrie certifié*;6,478;15,336;8,553;8,468;8,198;23,284;24,97;27,308;33,746;22,43;21,878;36,964;47,303;50,176;35,921;55,376;37,701;24,972;13,48;14,326
27 - Bourgogne-Franche-Comté;     ABI - Feuillus;17,87;44,259;20,051;13,406;30,203;17,856;22,346;23,134;33,349;31,237;18,703;24,67;32,768;43,646;33,499;39,489;31,963;25,152;17,959;21,138
27 - Bourgogne-Franche-Comté;     ABI - Conifères (dont poteaux);30,904;14,999;12,411;25,94;10,846;29,003;47,566;43,904;56,88;57,238;51,642;57,064;44,684;47,506;62,749;58,045;69,172;52,727;46,451;59,279
27 - Bourgogne-Franche-Comté;BE - Bois énergie;330,877;416,228;364,873;408,26;495,039;469,02;648,694;622,743;727,091;764,125;749,03;797,724;786,152;827,961;790,002;929,885;946,039;1105,471;1282,806;1225,428
27 - Bourgogne-Franche-Comté;     BE - dont bois énergie certifié*;87,005;112,503;110,132;109,13;166,09;161,713;148,777;210,932;294,303;327,249;354,769;383,807;354,423;413,159;392,634;490,848;477,319;556,948;591,7;534,872
27 - Bourgogne-Franche-Comté;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);291,963;370,07;317,584;334,859;393,578;367,078;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27 - Bourgogne-Franche-Comté;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);20,055;11,971;2,353;5,905;4,898;3,545;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27 - Bourgogne-Franche-Comté;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);3,199;5,326;2,569;2,676;6,14;1,894;168,598;161,765;194,584;191,406;169,021;159,177;234,269;235,973;284,118;371,888;354,692;432,079;510,238;463,349
27 - Bourgogne-Franche-Comté;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;376,817;370,916;386,811;386,58;334,061;349,217;366,424;368,004;334,382;314,2;320,962;348,731;337,892;355,179
27 - Bourgogne-Franche-Comté;     BE - Plaquettes forestières;15,66;28,861;42,367;64,82;90,423;96,503;103,279;90,062;145,696;186,139;245,948;289,33;185,459;223,984;171,502;243,797;270,385;324,661;434,676;406,9
28 - Normandie;RBC - Récolte de bois commercialisé;1292,172;1197,832;1157,727;1103,448;989,071;1146,161;1296,026;1176,044;1257,135;1271,31;1292,529;1253,17;1196,336;1237,743;1184,041;1224,486;1294,375;1258,869;1157,606;1195,853
28 - Normandie;     RBC - dont bois certifié*;711,673;621,354;663,42;633,503;633,618;715,856;820,191;702,282;678,862;775,112;740,74;755,726;680,65;752,896;702,088;684,434;720,175;696,457;560,746;618,245
28 - Normandie;BO - Bois d’œuvre;685,773;590,244;596,164;576,219;553,386;600,772;655,569;566,613;534,496;570,422;540,968;557,561;501,06;538,884;521,223;470,422;504,329;514,337;422,225;436,568
28 - Normandie;     BO - dont grumes certifiées*;364,504;317,447;347,653;346,069;364,002;399,67;448,504;355,921;319,399;365,384;336,496;388,963;332,985;389,921;351,168;293,617;302,297;315,373;235,085;264,058
28 - Normandie;     BO - Feuillus;347,313;306,948;358,895;351,152;337,239;313,217;351,034;294,134;281,245;326,023;319,372;331,265;287,323;305,128;294,87;240,058;249,538;289,243;230,264;245,478
28 - Normandie;          BO - Chêne;161,872;139,727;137,693;146,812;137,609;118,125;182,954;126,467;135,227;140,495;141,985;152,365;137,578;141,626;137,473;112,217;134,288;139,865;117,264;110,696
28 - Normandie;                BO - Chêne à tranchage et merrain;9,859;11,355;9,23;14,2;11,552;11,42;13,096;12,895;13,938;16,555;15,092;14,633;12,533;16,211;14,601;9,93;15,48;22,265;14,725;15,445
28 - Normandie;                BO - Chêne à sciages;152,013;128,372;128,463;132,612;126,057;106,705;169,858;113,572;121,289;123,94;126,893;137,732;125,045;125,415;122,872;102,287;118,808;117,6;102,539;95,251
28 - Normandie;          BO - Hêtre;123,261;99,496;156,139;155,104;148,507;147,061;109,679;129,329;110,034;145,944;122,074;113,593;108,437;124,261;94,7;82,002;66,594;80,478;63,57;78,228
28 - Normandie;                BO - Hêtre à déroulage;12,73;34,342;22,816;14,513;17,444;14,546;5,805;7,265;3,992;3,651;3,083;2,45;2,79;2,38;2,308;1,202;1,973;1,856;6,319;5,28
28 - Normandie;                BO - Hêtre à sciages;110,531;65,154;133,323;140,591;131,063;132,515;103,874;122,064;106,042;142,293;118,991;111,143;105,647;121,881;92,392;80,8;64,621;78,622;57,251;72,948
28 - Normandie;          BO - Châtaignier;15,994;16,526;19,47;12,989;6,553;7,722;5,293;5,646;5,673;6,509;10,732;12,53;3,451;4,602;4,556;3,388;5,835;5,948;7,214;4,755
28 - Normandie;          BO - Feuillus précieux;12,041;16,227;8,434;7,476;8,386;6,68;6,983;4,207;4,963;8,93;5,954;6,847;8,01;8,44;9,239;14,411;13,998;15,624;8,414;8,311
28 - Normandie;          BO - Peuplier;30,973;28,593;30,476;24,878;32,156;31,126;42,518;25,216;23,808;22,299;33,314;32,566;26,79;23,348;46,01;25,441;24,881;33,67;32,165;38,406
28 - Normandie;               BO - Peuplier à déroulage;16,515;12,443;13,266;12,345;18,027;16,52;23,143;11,793;9,919;9,136;17,96;11,279;12,757;7,804;12,168;13,788;14,739;18,37;19,076;24,092
28 - Normandie;               BO - Peuplier à sciages;14,458;16,15;17,21;12,533;14,129;14,606;19,375;13,423;13,889;13,163;15,354;21,287;14,033;15,544;33,842;11,653;10,142;15,3;13,089;14,314
28 - Normandie;          BO - Autres feuillus;3,172;6,379;6,683;3,893;4,028;2,503;3,607;3,269;1,54;1,846;5,313;13,364;3,057;2,851;2,892;2,599;3,942;13,658;1,637;5,082
28 - Normandie;     BO - Conifères;338,46;283,296;237,269;225,067;216,147;287,555;304,535;272,479;253,251;244,399;221,596;226,296;213,737;233,756;226,353;230,364;254,791;225,094;191,961;191,09
28 - Normandie;          BO - Sapin-épicéa (jusqu'en 2018);115,33;116,173;74,368;72,166;77,465;113,682;120,223;120,457;97,224;90,578;77,432;62,188;79,958;80,879;0;0;0;0;0;0
28 - Normandie;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,916;15,935;13,498;19,232;15,582;15,027
28 - Normandie;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;76,341;69,163;81,07;60,125;42,313;46,502
28 - Normandie;          BO - Douglas;81,633;78,373;68,939;71,467;62,737;81,952;97,583;89,162;81,26;86,92;82,707;81,09;78,066;95,223;62,81;104,348;108,913;95,806;89,12;78,397
28 - Normandie;          BO - Mélèze;8,55;3,042;4,033;4,395;2,231;3,595;3,503;4,065;5,577;6,727;5,16;4,046;4,2;4,189;3,187;1,721;3,371;1,63;3,657;4,383
28 - Normandie;          BO - Pin maritime;1,309;14,15;5,288;3,097;3,417;5,479;23,73;3,601;7,959;1,184;4,129;1,214;1,19;0,357;5,293;2,032;7,714;3,896;0,691;0,99
28 - Normandie;               BO - Pin maritime à placages;0,364;0,96;0,379;0;0,53;0;9,106;0;0;0;0;0;0;0;0;0;3,391;0,156;0,128;0,193
28 - Normandie;               BO - Pin maritime à sciages;0,945;13,19;4,909;3,097;2,887;5,479;14,624;3,601;7,959;1,184;4,129;1,214;1,19;0,357;5,293;2,032;4,323;3,74;0,563;0,797
28 - Normandie;          BO - Pin sylvestre;61,33;56,628;55,843;48,062;43,216;50,821;43,321;40,16;38,286;38,4;26,893;35,049;27,645;26,406;22,569;23,171;26,123;25,211;26,903;21,279
28 - Normandie;          BO - Autres conifères;70,308;14,93;28,798;25,88;27,081;32,026;16,175;15,034;22,945;20,59;25,275;42,709;22,678;26,702;29,237;13,994;14,102;19,194;13,695;24,512
28 - Normandie;BI - Bois d'industrie;508,223;463,764;475,216;429,823;268,077;336,374;277,553;244,309;258,964;298,604;261,211;246,211;237,341;261,466;226,815;204,829;185,267;167,138;150,175;142,608
28 - Normandie;   BI - Bois de trituration;500,7;450,986;469,695;423,364;262,241;326,514;249,587;227,387;250,272;292,695;257,407;231,073;215,342;228,064;224,352;200,485;183,116;143,82;141,959;137,668
28 - Normandie;     BT - dont bois de trituration certifié*;309,085;270,17;276,123;251,379;178,037;197,12;162,157;165,634;142,97;204,341;178,703;138,323;106,062;115,657;136,016;152,811;112,321;91,521;58,625;69,98
28 - Normandie;     BT - Feuillus;319,688;314,582;346,583;299,533;151,648;188,643;129,193;84,694;122,94;158,023;126,26;133,334;110,307;120,213;128,816;86,717;83,968;92,73;85,317;77,706
28 - Normandie;     BT - Conifères;181,012;136,404;123,112;123,831;110,593;137,871;120,394;142,693;127,332;134,672;131,147;97,739;105,035;107,851;95,536;113,768;99,148;51,09;56,642;59,962
28 - Normandie;          BT - Conifères blancs : sapin, épicéa;67,602;57,664;45,419;36,057;26,794;37,634;52,916;83,806;54,89;59,567;72,855;64,847;43,107;57,441;59,146;51,775;39,723;30,335;32,19;30,839
28 - Normandie;          BT - Pins maritimes;14,675;8,539;8,284;8,264;9,501;10,5;15,506;3,481;6,586;4,328;4,235;1,656;2,009;1,714;18,139;43,267;34,401;0,365;0,097;0,173
28 - Normandie;          BT - Autres conifères rouges;98,735;70,201;69,409;79,51;74,298;89,737;51,972;55,406;65,856;70,777;54,057;31,236;59,919;48,696;18,251;18,726;25,024;20,39;24,355;28,95
28 - Normandie;   BI - Autres bois d'industrie;7,523;12,778;5,521;6,459;5,836;9,86;27,966;16,922;8,692;5,909;3,804;15,138;21,999;33,402;2,463;4,344;2,151;23,318;8,216;4,94
28 - Normandie;     ABI - dont bois d'industrie certifié*;3,902;4,047;0,512;3,889;3,431;8,859;9,881;5,744;3,72;3,398;2,684;8,149;14,29;30,446;2,027;2,371;0,165;4,695;2,794;0
28 - Normandie;     ABI - Feuillus;6,263;11,203;3,051;5,555;5,781;8,586;4,981;10,165;3,355;2,222;0,292;0,551;0,57;33,011;2,299;2,45;1,395;21,465;6,772;4,46
28 - Normandie;     ABI - Conifères (dont poteaux);1,26;1,575;2,47;0,904;0,055;1,274;22,985;6,757;5,337;3,687;3,512;14,587;21,429;0,391;0,164;1,894;0,756;1,853;1,444;0,48
28 - Normandie;BE - Bois énergie;98,176;143,824;86,347;97,406;167,608;209,015;362,904;365,122;463,675;402,284;490,35;449,398;457,935;437,393;436,003;549,235;604,779;577,394;585,206;616,677
28 - Normandie;     BE - dont bois énergie certifié*;34,182;29,69;39,132;32,166;88,148;110,207;199,649;174,983;212,773;201,989;222,857;220,291;227,313;216,872;212,877;235,635;305,392;284,868;264,242;284,207
28 - Normandie;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);91,689;116,864;78,346;81,466;137,913;162,908;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28 - Normandie;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);1,821;2,9;3,048;3,462;2,6;0,908;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28 - Normandie;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);1,073;18,155;0,502;0,957;1,274;0,121;100,166;67,878;67,838;69,74;60,986;37,665;71,337;59,104;57,111;64,258;83,4;59,691;83,477;129,477
28 - Normandie;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;228,761;212,346;286,463;212,8;198,201;156,155;134,601;123,808;129,297;146,968;136,795;154,808;168,948;121,133
28 - Normandie;     BE - Plaquettes forestières;3,593;5,905;4,451;11,521;25,821;45,078;33,977;84,898;109,374;119,744;231,163;255,578;251,997;254,481;249,595;338,009;384,584;362,895;332,781;366,067
32 - Hauts-de-France;RBC - Récolte de bois commercialisé;1569,15;1657,4;1683,933;1534,264;1469,545;1454,538;1630,975;1353,999;1378,968;1400,488;1333,826;1315,612;1279,303;1313,743;1262,757;1243,483;1511,834;1725,225;2132,713;1790,003
32 - Hauts-de-France;     RBC - dont bois certifié*;637,12;737,227;654,159;644,493;743,247;717,51;908,46;800,88;901,369;827,642;802,499;768,259;768,602;864,37;835,147;814,049;996,706;1183,855;1446,651;1229,727
32 - Hauts-de-France;BO - Bois d’œuvre;749,825;803,537;831,419;776,404;756,637;696,865;739,186;661,107;597,548;614,245;582,946;537,46;531,895;505,792;516,584;414,951;541,426;622,136;701,169;672,705
32 - Hauts-de-France;     BO - dont grumes certifiées*;260,53;328,189;298,179;287,224;386,242;349,381;404,07;379,892;344,615;355,778;302,581;296,661;297,095;320,337;337,749;262,903;369,784;413,228;500,431;464,697
32 - Hauts-de-France;     BO - Feuillus;659,281;714,548;745,5;679,505;660,727;587,706;612,603;573,626;529,358;546,425;531,908;501,862;493,275;459,952;424,598;362,181;440,438;517,633;594,902;582,906
32 - Hauts-de-France;          BO - Chêne;161,612;169,177;152,51;155,85;163,915;158,699;157,608;135,912;132,983;142,359;162,107;133,632;139,277;149,032;116,761;92,528;101,522;103,261;132,453;135,403
32 - Hauts-de-France;                BO - Chêne à tranchage et merrain;18,917;19,295;14,456;43,297;31,145;30,641;21,715;18,578;20,219;19,166;26,426;15,102;18,043;28,802;18,391;13,701;16,603;12,382;18,796;19,53
32 - Hauts-de-France;                BO - Chêne à sciages;142,695;149,882;138,054;112,553;132,77;128,058;135,893;117,334;112,764;123,193;135,681;118,53;121,234;120,23;98,37;78,827;84,919;90,879;113,657;115,873
32 - Hauts-de-France;          BO - Hêtre;91,076;112,332;121,398;106,405;115,086;124,338;136,705;115,711;120,346;118,058;93,695;76,007;79,09;89,05;76,105;75,475;67,72;86,952;107,896;117,997
32 - Hauts-de-France;                BO - Hêtre à déroulage;6,55;13,586;8,911;19,637;19,319;14,956;13,11;11,647;11,672;11,03;12,789;4,164;4,183;12,424;2,586;1,777;6,031;7,928;1,329;2,818
32 - Hauts-de-France;                BO - Hêtre à sciages;84,526;98,746;112,487;86,768;95,767;109,382;123,595;104,064;108,674;107,028;80,906;71,843;74,907;76,626;73,519;73,698;61,689;79,024;106,567;115,179
32 - Hauts-de-France;          BO - Châtaignier;28,337;21,86;18,811;17,759;15,538;15,838;10,545;35,526;8,602;10,371;9,463;10,497;11,691;8,871;6,252;7,524;9,332;11,94;12,638;14,949
32 - Hauts-de-France;          BO - Feuillus précieux;43,954;51,725;44,884;38,651;36,537;36,917;28,094;67,579;52,859;56,299;63,371;73,384;70,613;66,528;82,832;52,993;66,364;79,53;125,258;99,926
32 - Hauts-de-France;          BO - Peuplier;305,011;333,123;383,763;333,058;291,972;225,347;242,933;170,509;181,537;189,848;169,863;174,43;163,116;121,165;121,62;115,507;139,816;169,67;177,156;180,594
32 - Hauts-de-France;               BO - Peuplier à déroulage;168,637;163,011;205,567;174,862;173,303;121,803;127,904;64,691;71,612;65,105;64,992;61,281;62,896;44,11;44,819;49,012;67,534;92,555;98,467;110,161
32 - Hauts-de-France;               BO - Peuplier à sciages;136,374;170,112;178,196;158,196;118,669;103,544;115,029;105,818;109,925;124,743;104,871;113,149;100,22;77,055;76,801;66,495;72,282;77,115;78,689;70,433
32 - Hauts-de-France;          BO - Autres feuillus;29,291;26,331;24,134;27,782;37,679;26,567;36,718;48,389;33,031;29,49;33,409;33,912;29,488;25,306;21,028;18,154;55,684;66,28;39,501;34,037
32 - Hauts-de-France;     BO - Conifères;90,544;88,989;85,919;96,899;95,91;109,159;126,583;87,481;68,19;67,82;51,038;35,598;38,62;45,84;91,986;52,77;100,988;104,503;106,267;89,799
32 - Hauts-de-France;          BO - Sapin-épicéa (jusqu'en 2018);42,571;46,814;38,153;49,701;42,547;51,529;62,67;43,191;31,456;30,571;25,151;16,577;22,616;29,412;0;0;0;0;0;0
32 - Hauts-de-France;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,025;0,714;0,442;0,522;2,046;0,94
32 - Hauts-de-France;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;76,934;40,929;49,423;49,289;49,736;35,088
32 - Hauts-de-France;          BO - Douglas;21,931;13,71;22,648;22,717;24,038;19,583;26,707;19,812;20,832;19,011;16,63;10,649;8,611;7,528;8,711;7,849;28,634;33,178;31,417;30,855
32 - Hauts-de-France;          BO - Mélèze;3,156;2,832;1,564;2,891;1,185;1,834;10,202;1,673;0,816;2,709;0,219;0,16;0,829;0,399;0,681;0,643;0,669;1,17;1,376;1,07
32 - Hauts-de-France;          BO - Pin maritime;0,517;0,245;0,59;0,45;1,486;1,008;0,884;0,328;0,303;0,309;1,209;0,373;0;0;0,001;0,267;1,555;0,133;0,214;0
32 - Hauts-de-France;               BO - Pin maritime à placages;0;0;0;0,1;0,032;0;0,006;0,152;0;0;0;0;0;0;0;0,248;0,792;0;0,01;0
32 - Hauts-de-France;               BO - Pin maritime à sciages;0,517;0,245;0,59;0,35;1,454;1,008;0,878;0,176;0,303;0,309;1,209;0,373;0;0;0,001;0,019;0,763;0,133;0,204;0
32 - Hauts-de-France;          BO - Pin sylvestre;9,068;23,352;22,087;18,724;20,826;17,685;14,198;14,401;8,654;9,516;6,863;5,807;2,638;3,252;1,52;1,097;10,035;9,607;12,18;9,697
32 - Hauts-de-France;          BO - Autres conifères;13,301;2,036;0,877;2,416;5,828;17,52;11,922;8,076;6,129;5,704;0,966;2,032;3,926;5,249;2,114;1,271;10,23;10,604;9,298;12,149
32 - Hauts-de-France;BI - Bois d'industrie;630,727;598,21;641,29;540,443;435,784;434,262;467,884;352,222;291,459;229,228;142,001;136,151;157,905;169,852;141,731;175,594;236,719;262,446;346,26;256,874
32 - Hauts-de-France;   BI - Bois de trituration;628,976;593,542;639,021;539,145;431,229;431,431;458,021;348,004;263,056;226,509;141,696;131,37;143,865;163,586;125,526;165,625;220,648;247,536;292,593;220,864
32 - Hauts-de-France;     BT - dont bois de trituration certifié*;321,877;360,795;318,691;342,436;284,795;285,776;322,91;235,975;217,001;171,179;93,823;73,833;76,082;83,609;94,536;94,171;175,104;195,501;229,515;145,314
32 - Hauts-de-France;     BT - Feuillus;531,116;514,626;587,825;464,606;373,064;380,229;410,632;298,874;221,749;188,737;126,073;116,089;132,002;154,697;111,507;143,796;192,771;211,379;257,821;197,052
32 - Hauts-de-France;     BT - Conifères;97,86;78,916;51,196;74,539;58,165;51,202;47,389;49,13;41,307;37,772;15,623;15,281;11,863;8,889;14,019;21,829;27,877;36,157;34,772;23,812
32 - Hauts-de-France;          BT - Conifères blancs : sapin, épicéa;46,98;39,163;16,433;27,519;25,566;19,579;22,506;22,946;16,068;12,208;6,75;8,382;5,586;6,233;10,83;11,6;15,989;20,178;19,846;13,766
32 - Hauts-de-France;          BT - Pins maritimes;5,952;5,828;0;4,104;1,786;2,656;0,342;0,057;0;0,473;0,274;0,283;2,017;0;0;0;0;0;0,008;0
32 - Hauts-de-France;          BT - Autres conifères rouges;44,928;33,925;34,763;42,916;30,813;28,967;24,541;26,127;25,239;25,091;8,599;6,616;4,26;2,656;3,189;10,229;11,888;15,979;14,918;10,046
32 - Hauts-de-France;   BI - Autres bois d'industrie;1,751;4,668;2,269;1,298;4,555;2,831;9,863;4,218;28,403;2,719;0,305;4,781;14,04;6,266;16,205;9,969;16,071;14,91;53,667;36,01
32 - Hauts-de-France;     ABI - dont bois d'industrie certifié*;0,337;0,032;0,555;0,015;4;0,16;7,77;4,108;23,473;1,705;0,002;3,769;12,293;4,345;14,824;9,968;14,041;14,191;52,819;36
32 - Hauts-de-France;     ABI - Feuillus;1,583;4,636;1,693;0,928;4,497;2,693;7,934;3,235;28,112;1,691;0,302;1,109;9,183;4,86;6,007;5,438;15,892;13,259;47,824;33
32 - Hauts-de-France;     ABI - Conifères (dont poteaux);0,168;0,032;0,576;0,37;0,058;0,138;1,929;0,983;0,291;1,028;0,003;3,672;4,857;1,406;10,198;4,531;0,179;1,651;5,843;3,01
32 - Hauts-de-France;BE - Bois énergie;188,598;255,653;211,224;217,417;277,124;323,411;423,905;340,67;489,961;557,015;608,879;642,001;589,503;638,099;604,442;652,938;733,689;840,643;1085,284;860,424
32 - Hauts-de-France;     BE - dont bois énergie certifié*;54,376;48,211;36,734;14,818;68,21;82,193;173,71;180,905;316,28;298,98;406,093;393,996;383,132;456,079;388,038;447,007;437,777;560,935;663,886;583,716
32 - Hauts-de-France;     BE - Bois de chauffage commercialisé (bois bûche) (jusqu'en 2010);183,052;243,792;194,441;191,003;218,72;233,305;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32 - Hauts-de-France;     BE - Bois de chauffage cédé gratuitement (jusqu'en 2010);3,613;6,472;4,748;6,104;3,518;2,861;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32 - Hauts-de-France;     BE - Bois ronds > 2 m (dont carbonisation) (depuis 2011);0,536;0,523;0,755;0,335;0,335;0;40,548;42,493;126,393;72,954;90,485;116,699;67,467;100,471;92,704;156,245;157,723;66,049;40,013;165,977
32 - Hauts-de-France;     BE - Bois en rondins et bûches < 2 m (depuis 2011);0;0;0;0;0;0;296,908;231,657;269,536;313,941;360,706;349,536;354,046;376,556;294,527;196,279;230,981;280,132;335,371;241,076
32 - Hauts-de-France;     BE - Plaquettes forestières;1,397;4,866;11,28;19,975;54,551;87,245;86,449;66,52;94,032;170,12;157,688;175,766;167,99;161,072;217,211;300,414;344,985;494,462;709,9;453,371
44 - Grand Est;RBC - Récolte de bois commercialisé;6813,094;6735,125;6363,325;5948,03;5568,798;6427,732;6951,855;6554,077;6821,721;7145,227;6966,671;7009,995;7320,023;7568,597;7519,163;7159,434;7556,849;7076,551;6649,729;6489,163
44 - Grand Est;     RBC - dont bois certifié*;1951,727;3275,034;3401,127;3044,493;3319,673;3804,829;4034,015;3855,553;3892,413;4170,112;4366,046;4367,305;4897,325;4822,519;4847,751;4888,519;5008,293;4585,09;4247,685;4205,416
44 - Grand Est;BO - Bois d’œuvre;3538,206;3673,962;3503,107;3195,828;2874,106;3257,654;3341,976;2917,134;2872,356;3058,434;2887,076;2887,989;2951,439;3090,622;3234,438;3194,018;3311,143;2867,598;2710,789;2718,39
44 - Grand Est;     BO - dont grumes certifiées*;1014,299;1904,57;1966,152;1592,25;1758,56;1913,564;2026,404;1838,942;1769,604;1905,107;1890,228;1863,97;1977,367;1944,258;2025,826;2239,064;2143,666;1816,743;1749,635;1909,445
44 - Grand Est;     BO - Feuillus;1482,295;1485,006;1555,805;1550,445;1297,625;1298,817;1482,763;1367,144;1265,654;1394,05;1359,457;1345,836;1267,194;1313,909;1303,127;1103,056;1152,711;1172,322;1122,263;995,763
44 - Grand Est;          BO - Chêne;723,595;699,971;712,298;663,312;582,195;485,782;571,259;518,128;490,948;509,508;496,934;507,295;511,679;528,448;500,223;440,55;407,707;422,307;422,115;362,619
44 - Grand Est;                BO - Chêne à tranchage et merrain;52,289;62,007;64,699;68,571;43,634;32,067;38,236;38,384;40,596;41,264;37,264;46,2;55,357;63,792;60,04;47,842;44,309;45,823;44,671;39,92
44 - Grand Est;                BO - Chêne à sciages;671,306;637,964;647,599;594,741;538,561;453,715;533,023;479,744;450,352;468,244;459,67;461,095;456,322;464,656;440,183;392,708;363,398;376,484;377,444;322,699
44 - Grand Est;          BO - Hêtre;490,901;532,476;585,764;553,148;429,593;485,891;557,631;530,206;504,636;552,053;551,329;507,366;465,964;470,325;437,105;364,891;433,499;440,064;391,02;336,393
44 - Grand Est;                BO - Hêtre à déroulage;53,103;61,097;66,193;38,196;34,066;14,338;23,251;35,793;20,692;18,362;15,548;15,61;14,289;24,506;11,521;13,204;10,924;8,547;11,968;5,184
44 - Grand Est;                BO - Hêtre à sciages;437,798;471,379;519,571;514,952;395,527;471,553;534,38;494,413;483,944;533,691;535,781;491,756;451,675;445,819;425,584;351,687;422,575;431,517;379,052;331,209
44 - Grand Est;          BO - Châtaignier;2,258;1,779;8,989;9,526;6,058;7,185;4,734;3,126;3,118;10,358;6,041;3,422;2,839;2,648;2,783;2,624;3,599;4;2,512;1,996
44 - Grand Est;          BO - Feuillus précieux;62,565;71,93;78,568;89,744;69,869;66,66;68,083;63,392;59,26;72,954;72,286;84,376;85,847;102,315;109,234;91,245;88,513;84,772;95,107;128,939
44 - Grand Est;          BO - Peuplier;135,145;117,086;112,349;111,822;113,706;139,58;171,258;139,745;103,14;148,182;126,012;125,119;107,835;123,067;150,339;135,572;163,227;163,431;154,169;140,743
44 - Grand Est;               BO - Peuplier à déroulage;63,511;52,059;42,331;60,511;63,509;72,326;97,822;64,239;42,192;67,815;55,305;66,612;50,137;69,196;104,068;97,307;120,745;112,872;112,355;120,483
44 - Grand Est;               BO - Peuplier à sciages;71,634;65,027;70,018;51,311;50,197;67,254;73,436;75,506;60,948;80,367;70,707;58,507;57,698;53,871;46,271;38,265;42,482;50,559;41,814;20,26
44 - Grand Est;          BO - Autres feuillus;67,831;61,764;57,837;122,893;96,204;113,719;109,798;112,547;104,552;100,995;106,855;118,258;93,03;87,106;103,443;68,174;56,166;57,748;57,34;25,073
44 - Grand Est;     BO - Conifères;2055,911;2188,956;1947,302;1645,383;1576,481;1958,837;1859,213;1549,99;1606,702;1664,384;1527,619;1542,153;1684,245;1776,713;1931,311;2090,962;2158,432;1695,276;1588,526;1722,627
44 - Grand Est;          BO - Sapin-épicéa (jusqu'en 2018);1750,521;1852,732;1648,371;1334,455;1300,036;1584,963;1540,769;1275,91;1340,885;1362,097;1280,886;1294,79;1412,461;1495,025;0;0;0;0;0;0
44 - Grand Est;          BO - Sapin (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;749,56;379,285;556,44;543,882;680,481;767,169
44 - Grand Est;          BO - Epicéa (depuis 2019);0;0;0;0;0;0;0;0;0;0;0;0;0;0;948,854;1471,848;1361,95;903,679;724,603;683,449
44 - Grand Est;          BO - Douglas;49,591;72,446;65,545;63,123;56,92;94,283;106,854;81,847;94,737;127,167;80,609;73,04;149,355;165,116;135,385;146,281;131,541;125,34;87,923;160,917
44 - Grand Est;          BO - Mélèze;5,306;2,78;7,843;5,85;5,997;6,526;4,069;3,853;3,057;2,091;3,601;3,76;7,944;8,199;6,674;7,895;8,159;8,037;7,757;6,643
